id,title,content
4326,Doctor Strange,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
4327,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
4328,Guardians of the Galaxy Vol. 2,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
4329,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
4330,Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
4331,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
4332,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
4333,Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
4334,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
4335,Thor: The Dark World,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster."
4336,Marvel Super Hero Adventures,"Spider-Man teams with other Marvel heroes, in this short-form series, to teach the benefits of friendship, co-operation and heroism."
4337,Ultimate Spider-Man,Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D.
4338,Agent Carter,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
4339,Ant-Man,"Follow Scott Lang as Ant-Man, dealing with everything from super villains to miniature alien invasions (and occasionally helping Cassie with her homework). Along with The Wasp and Hank Pym, Ant-Man protects the world one inch at a time."
4340,Avengers Assemble,The further adventures of the Marvel Universe's mightiest general membership superhero team.
4341,,
4342,Marvel Future Avengers,"follows a young boy named Makoto, who gains superpowers due to an evil gene manipulation experiment. Makoto and other young kids with powers join the Avengers as apprentices named ""Future Avengers."""
4343,Guardians of the Galaxy,The adventures of a band of space warriors who work to protect the universe from the evil overlord Thanos.
4344,,
4345,Marvel's Hero Project,"This 20-episode series shares the remarkable, positive change several young heroes are making in their own communities across the country. These inspiring kids have dedicated their lives to..."
4346,Inhumans,An isolated community of superhumans fight to protect themselves.
4347,Iron Man & Hulk: Heroes United,The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.
4348,Rocket & Groot,Adventures of Rocket and Groot before their time on the Guardians of the Galaxy (2014) team.
4349,Runaways,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
4350,Spider-Man,"Peter Parker, a new student at the famous Horizon High, fights evil super-villains as the costumed superhero, Spider-Man."
4351,,
4352,,
4353,Mary Poppins,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
4354,Mater and the Ghostlight,"In this short featuring the characters of the movie Cars, Mater is told the story of a Ghostlight, which causes him to be scared."
4355,Meet the Deedles,Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.
4356,Meet the Robinsons,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate."
4357,Melody Time,An anthology of animated vignettes set to contemporary music.
4358,,
4359,Mickey Mouse,Mickey Mouse takes on new adventures finding himself in silly situations in different settings.
4360,The Mickey Mouse Club,Mickey Mouse hosts a youth oriented variety show.
4361,Mickey Mouse Mixed-Up Adventures,"Mickey Mouse and his pals Minnie, Pluto, Goofy, Daisy, and Donald take their unique transforming vehicles on humorous high-spirited races around the globe as well as hometown capers in Hot Dog Hills."
4362,"Mickey, Donald, Goofy: The Three Musketeers","Mickey, Donald and Goofy are the French three Musketeers."
4363,Mickey's Birthday Party,"The gang throws Mickey a surprise birthday party; his present is an electric organ, which Minnie plays while Mickey does a jazzy dance. Goofy bakes the cake, but keeps having trouble with ..."
4364,Mickey's Christmas Carol,The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.
4365,,
4366,Mickey's Once Upon a Christmas,Mickey and his friends star in 3 heartwarming stories of Christmas past.
4367,Mickey's Rival,Minnie's old sweetheart Mortimer drops in while she and Mickey are out on a picnic.
4368,Mickey's Trailer,"Mickey and his friends take a vacation in his house trailer equipped with all the latest modern conveniences. Heading up a steep mountain road with Goofy driving the car, surely nothing can go wrong."
4369,Mickey's Twice Upon a Christmas,Sequel to Mickey's Once Upon a Christmas
4370,Mighty Joe Young,"A legendary fifteen-foot tall mountain gorilla named Joe is taken to an animal sanctuary in California by zoologist Gregg O'Hara (Bill Paxton) and Jill Young (Charlize Theron), with whom he grew up. Poacher Strasser (Rade Serbedzija) returns from the past to seek vengeance on Joe."
4371,Mike's New Car,"Mike's bought a new 6-wheel-drive car, and he can't wait to show it off to Sulley. Only problem is, Mike hasn't exactly mastered the controls yet, and they're pretty complicated."
4372,Mission Force One,Follows the outer space voyages of young adventurer Miles and his family.
4373,Millions,"Ethics, being human and the soul come to the fore when a 7-year old finds a bag of Pounds just days before the currency is switched to Euros and learns what we are really made of."
4374,Minutemen,A comedy/sci-fi/adventure about three high school kids who invent a 10 minute time machine to spare others just like them from the humiliation they've endured.
4375,Miracle,"The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad."
4376,Miracle at Midnight,A Danish family tries to help their Jewish neighbours escape from the Nazis.
4377,Miracle in Lane 2,"Based on a true story, a 13-year-old boy who uses a wheelchair is determined to win a trophy like his athletic older brother."
4378,Miracle Landing on the Hudson,"In 2009, just two minutes into US Airways flight 1549, a flock of birds struck the plane taking out both engines. With no power, the Captain decided to attempt the near impossible - to land it in New York's Hudson River."
4379,Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing."
4380,Mission to the Sun,"A look at NASA's Parker Solar Probe, which launched its mission to explore the sun in August 2018."
4381,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
4382,Mom's Got a Date with a Vampire,"The Hansen kids are in a jam. Adam and his best friend Duffy have gotten their hands on some tickets for the Headless Horseman concert, and his sister Chelsea has a date with her dreamy ..."
4383,Monsters University,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
4384,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
4385,Motocrossed,A young girl secretly poses as her twin brother to win the big motocross race for him after he breaks his leg.
4386,Mr. Boogedy,"A novelty-salesman moves his family into a new house. Initially dismissing incidents as more of their father's practical jokes, the family soon learns that the house is haunted by people who lived in the house 300 years previously."
4387,Mr. Duck Steps Out,"Donald is headed for Daisy. However, his nephews are too."
4388,Mr. Mouse Takes a Trip,"Mickey is heading out on vacation from Burbank to Pomona, taking the train. The conductor, Pete, won't let him on with Pluto, so he hides Pluto in his suitcase, and tries to hide him all ..."
4389,Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
4390,Mulan II,"While preparing for their wedding, Shang and Mulan are suddenly sent off on a secret mission. Mushu starts to meddle, and a surprise attack by Mongolians doesn't help either."
4391,Muppet Babies,Baby versions of Jim Henson's famous Muppet characters go on wacky adventures through their imaginations
4392,,
4393,Muppet Moments,N/A
4394,Muppet Treasure Island,The Muppets' twist on the classic tale.
4395,Muppets Most Wanted,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick."
4396,"My Dog, the Thief: Part 1",An air-traffic reporter discovers that his partner--a St. Bernard dog--has accidentally swiped a priceless necklace from a jewel-smuggling gang.
4397,My Favorite Martian,A Martian lands on Earth and makes friends with a reporter.
4398,My Friends Tigger & Pooh,A girl and her dog have adventures with tigger and pooh in the hundred acre woods
4399,National Treasure,A historian races to find the legendary Templar Treasure before a team of mercenaries.
4400,National Treasure: Book of Secrets,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.
4401,Nature's Half Acre,"The variety of wildlife in a meadow - particularly insects and flowers - is observed over the course of a year, through the use of microphotography and time-lapse photography."
4402,Newsies,A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.
4403,Disney's Newsies: The Broadway Musical!,"Filmed live on stage at the Pantages Theatre in Hollywood, CA, this is a not-to-be-missed high energy show starring Original Broadway cast members."
4404,Noelle,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet."
4405,Now You See It...,A budding producer searches for the country's best young magician.
4406,Olaf's Frozen Adventure,"A Christmas-themed special featuring characters from Walt Disney Pictures' 53rd full-length animated motion picture, ""Frozen (2013)""."
4407,Old Dogs,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.
4408,Old Yeller,"A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all."
4409,Oliver & Company,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.
4410,On Ice,Mickey shows off his ice-skating skills to Minnie; Goofy does some unconventional ice fishing; Donald straps skates to Pluto and laughs at his attempts to skate. Donald gets strapped to a ...
4411,Once Upon a Mattress,"In this hilarious tweaking of the fairy tale, ""The Princess and the Pea"", Queen Aggravain has ruled that none may marry until her son, Prince Dauntless marries. However, she has managed to ..."
4412,One Day at Disney,A 52-part shorts series that each focus on a different Walt Disney employee's job.
4413,,
4414,One Hundred and One Dalmatians,"When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement."
4415,One Magic Christmas,"An angel must show a mother the true meaning of Christmas. It's not just presents and materialistic things, but the people she cares about."
4416,One Man Band,Two buskers engage in a petty feud over a child's donation.
4417,One Strange Rock,The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena; astronauts tell the story of Earth through unique perspective.
4418,Onward,Two elven brothers embark on a quest to bring their father back for one day.
4419,Operation Dumbo Drop,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant."
4420,Origins: The Journey of Humankind,Our primal curiosity has sparked new inventions and revealed the mysteries of the universe. This eight part mini series strives to trace the pivotal innovations that make us modern.
4421,Out of Scale,"Donald Duck has a model train and town laid out in his yard. He decides to move a live tree that doesn't match the model scale, not realizing it is home to chipmunks Chip and Dale. They in turn move into one of the miniature houses."
4422,Out of the Box,"A group of kids and their two caregivers have built a cool clubhouse out of giant boxes. That's where they meet for music, play and special activities that kids can do at home."
4423,Out There with Jack Randall,Zoologist Jack Randall journeys into Australia's Outback to encounter extraordinary wildlife.
4424,,
4425,Paris to Pittsburgh,Paris to Pittsburgh brings to life the impassioned efforts of individuals who are battling the most severe threats of climate change in their own backyards. Set against the national debate ...
4426,Partly Cloudy,"Babies both human and animal are created up in the stratosphere, by the clouds themselves. One cloud specializes in ""dangerous"" babies, creating a challenge for his loyal stork that has to deliver them."
4427,Party Central,"With a little trickery, Mike and Sulley help their social outcast friends at Monsters University have the best frat party ever."
4428,Penguins: Life on the Edge,"Follows the witty and tenacious team of filmmakers behind Disneynature's Penguins (2019), a coming-of-age story about an Adélie penguin named Steve."
4429,Perri,"True-Life nature photography is used to tell the tale of a female tree squirrel named Perri who encounters many different forest creatures, both friendly and dangerous, as she grows up through the four seasons and finds a mate named Porro."
4430,Pete's Dragon,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.
4431,Pete's Dragon,"The adventures of an orphaned boy named Pete and his best friend Elliott, who happens to be a dragon."
4432,Peter Pan,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
4433,Peter Pan 2: Return to Never Land,"In London during World War II, this is the story of Wendy's daughter, Jane, who is kidnapped by Captain Hook and Peter Pan must come to the rescue."
4434,Phantom of the Megaplex,"A young man working at a cinema on a special premiere night, finds that the films being shown are full of strange and eerie occurrences."
4435,Phil of the Future,"A family from 2121 is stuck in 2004, trying desperately to fit in."
4436,Phineas and Ferb,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
4437,Phineas and Ferb the Movie: Across the 2nd Dimension,"Phineas and Ferb discover that Perry is a secret agent, and they all get stuck in an alternate dimension where Doofenschmirtz is the ruler of the tri-state area."
4438,Phineas and Ferb: Mission Marvel,"When Dr. Doofenshmirtz's latest invention causes the Marvel heroes to lose their powers, they team up with Phineas and Ferb to save the world from Doofenshmirtz and the Marvel villains."
4439,Pick of the Litter,"Ups and downs of an adorable group of six dogs on their fascinating and surprisingly suspenseful quest to become guides for Guide Dogs for the Blind, the ultimate canine career."
4440,Piglet's Big Movie,"When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives."
4441,Pinocchio,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
4442,Piper,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive."
4443,Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
4444,Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
4445,Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
4446,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
4447,Pixar in Real Life,"This live action series brings iconic characters and moments from Pixar films into the real world. Filmed on location in and around New York City, the series surprises and delights real people in real locations when they least expect it."
4448,Pixel Perfect,A teen uses a holograph to create a pop star for his friend's band.
4449,PJ Masks,"Three children become superheroes at night. During the school day a problem arises, and during the night the culprit is found by the PJ Masks and the problem gets solved by sharing ideas, ..."
4450,,
4451,,
4452,Pluto's Christmas Tree,"Mickey and Pluto pick out a tree for Christmas and bring it back home, completely unaware that Chip and Dale are already living in it."
4453,Pluto's Party,"It's Pluto's birthday party, but Mickey's dozen or so nephews seem to be having all the fun. Their present is a wagon so Pluto can pull them; the ""Pin the Tail on Pluto"" game doesn't go ..."
4454,Pluto's Purchase,"Mickey sends Pluto to the butcher store. Butch sees this and contrives to take Pluto's sausage, ultimately using some of his fleas to distract Pluto long enough. Pluto manages to retrieve ..."
4455,,
4456,,
4457,Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
4458,Pocahontas II: Journey to a New World,"Pocahontas sets off on a journey to England with Meeko, Flit, and Percy. Hearing rumors of John Smith's death, Pocahontas tries to prevent war and battle."
4459,Pollyanna,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.
4460,Pooh's Grand Adventure: The Search for Christopher Robin,"Winnie the Pooh and company embark on a quest to rescue Christopher Robin from certain doom in a place called ""Skull"" after misreading a note he left for them."
4461,Pooh's Heffalump Movie,"A Heffalump is heard trumpeting in the hundred acre woods. Winnie the Pooh, Tigger, and Piglet are scared and rush to Rabbit's house for advice. Roo joins them and they all agree that ..."
4462,,
4463,Presto,A stage magician's rabbit gets into a magical onstage brawl against his neglectful guardian with two magic hats.
4464,Primal Survivor,"Primal Survivor tracks wilderness guide and survival instructor Hazen Audel as he tackles some of mankind's most rigorous journeys, relying on skills learned from native inhabitants.After ..."
4465,Princess Protection Program,"A princess whose country has been invaded goes into hiding in Louisiana, where she has to learn to act like an ordinary teenager."
4466,Prom,A group of teenagers get ready for their high school prom.
4467,Prowlers of the Everglades,N/A
4468,Puppy Dog Pals,"Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe."
4469,Purl,"An earnest ball of yarn named Purl gets a job at a fast-paced, high energy, male-centric start-up. Things start to unravel as she tries to fit in with this close-knit group. Purl must ask ..."
4470,Quack Pack,"The misadventures of Donald Duck and his rebellious teenage nephews with attitude, Huey, Dewey, and Louie."
4471,Queen of Katwe,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.
4472,Quints,A 14-year-old teenager goes to desperate lengths to get attention when her mother gives birth to quints.
4473,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
4474,Read It and Weep,A shy and retiring high school student develops a peculiar alter ego that changes her life forever.
4475,Ready to Run,"A 14-year-old girl who works at a racetrack trains a talking racehorse with issues, transforming him into a winner."
4476,Recess: All Growed Down,TJ and the gang has their shares of memories as kindergarteners when the kindergarteners captures them
4477,Recess: School's Out,TJ and company must save summer vacation from disappearing forever.
4478,Recess: Taking the Fifth Grade,Wow - fifth grade. But what good is practically being a grown-up when the teacher's a big sourpuss?
4479,Red Tails,"A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are called into duty under the guidance of Col. A.J. Bullard."
4480,Red's Dream,"With a sale tag hanging from his seat, propped up in the corner of a bicycle store on a rainy night, Red the unicycle dreams about a better place."
4481,Remember the Titans,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
4482,,
4483,Return from Witch Mountain,"Tia and Tony visit Los Angeles, but he's quickly kidnapped by an evil scientist, leaving her to desperately search for him."
4484,Return to Halloweentown,"Marnie and Dylan are going to follow their dreams to go to college, at Halloweentown University, which is also known as Witch University."
4485,Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
4486,Richie Rich's Christmas Wish,"After getting blamed for spoiling Christmas, the richest kid in the world wishes he'd never been born."
4487,Right on Track,Fact-based drama chronicling the story of two determined sisters who battled the prejudice of a male-dominated sport to become world-class drag racers.
4488,,
4489,Rip Girls,A 13-year-old (Camilla Belle) learns to surf while visiting Hawaii for the first time to see a plantation she inherited.
4490,Robin Hood,The story of the legendary outlaw is portrayed with the characters as humanoid animals.
4491,Rocky Mountain Animal Rescue,N/A
4492,Rogue One: A Star Wars Story,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
4493,Rookie of the Year,"When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs."
4494,Roving Mars,A pair of uncrewed vehicles transmit images from Mars.
4495,Ruby Bridges,"The true story of Ruby Bridges, an African-American girl who, in 1960 at age 6, helped to integrate and the segregarding of all-white schools of New Orleans. Although she was the only black..."
4496,Running Wild with Bear Grylls,"Bear Grylls, British adventurer, takes A-list celebrities on wild outdoor adventures, pushing them beyond their comfort zone."
4497,Sacred Planet,"This IMAX film shows exotic places that still exist and gives new insights into the Earth's diverse landscapes, peoples and animals. From the last remaining old growth forests of British ..."
4498,Saludos Amigos,Disney animators tour South America and present four animated shorts inspired by their trip.
4499,"Sammy, the Way-Out Seal: Part 1",Disney film about two young brothers who secretly bring home a seal from their summer vacation and try to hide it from Mom and Dad. Havoc ensues as Sammy's antics disrupt the quiet town of ...
4500,Sanjay's Super Team,"Bored with his father's meditation, a young Indian boy daydreams of Hindu gods as superheroes."
4501,Santa Paws 2: The Santa Pups,"When the Christmas spirit mysteriously begins to disappear, the playful and mischievous Santa Pups - Hope, Jingle, Charity and Noble - must race to save Christmas."
4502,Santa's Workshop,Santa's little helpers must hurry to finish the toys before Christmas Day.
4503,Saving Mr. Banks,"Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
4504,Science Fair,"Nine high school students from disparate corners of the globe navigate rivalries, setbacks, and hormones on their quest to win the international science fair. Only one can be named ""Best in Fair."""
4505,Sea of Hope: America's Underwater Treasures,"Oceanographer Dr. Sylvia Earle, National Geographic photographer Brian Skerry, Author & Historian Maxwell Kennedy take a team of young environmentalists around America's Ocean hotspots to ..."
4506,Sea Scouts,"Donald has a large sailboat, and his crew consists of his three nephews. But between his own clumsiness, and that of his inexperienced (but not mean) crew, the sailing is anything but ..."
4507,Secret of the Wings,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.
4508,Secretariat,"Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
4509,The Secret of Christ's Tomb,N/A
4510,Secrets of Life,"A feature-length documentary showing the changing world of nature, the sky, the sea, the sun, planets, insects and volcanic action. A story of nature's strange and intricate designs for survival and her many methods of perpetuating life."
4511,Secrets of the King Cobra,N/A
4512,Secrets of the Zoo,"With nearly 6,000 veterinary cases and well over 100 births each year, the team at the Columbus Zoo has no shortage of incredible drama."
4513,,
4514,Shake It Up,Two Chicago teens attempt to realize their dream of becoming professional dancers by landing spots on a popular local show.
4515,Sharks of Lost Island,N/A
4516,Sharpay's Fabulous Adventure,Sharpay Evans travels to New York where she is pursuing a Broadway career but it's her dog who lands an acting gig first.
4517,Sheriff Callie's Wild West,A kids' western centered on a kitty-cat sheriff whose job is to ensure that the town of Nice and Friendly Corners remains the friendliest town in the West.
4518,Shipwrecked,A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.
4519,Shop Class,"It is a competition format that features teams of inventive students who are tasked with designing, building, and testing new contraptions."
4520,Silver Surfer,The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.
4521,The Simpsons Movie,"After Homer deliberately pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the family are declared fugitives."
4522,Sister Act,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in."
4523,Sister Act 2: Back in the Habit,Showgirl Deloris Van Cartier (Whoopi Goldberg) returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.
4524,Skyrunners,"Fourteen-year-old Tyler encounters an alien ship which makes him appear older, inexplicably turns him into a ""Skyrunner"" with incomprehensible powers. This turns his high school life upside..."
4525,Sleeping Beauty,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
4526,Smart Guy,Ten-year-old genius (Tahj Mowry) has skipped six grades into high school. This incredible promotion somewhat aggravates his teenage siblings.
4527,Smart House,"A teenager wins a fully-automated dream house in a competition, but soon the computer controlling it begins to take over and everything gets out of control. Then teenage Ben must calm the computer named PAT."
4528,Smash and Grab,"After years of toiling away inside the engine room of a towering locomotive, two antiquated robots will risk everything for freedom and for each other."
4529,Snow Dogs,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man."
4530,Snow White and the Seven Dwarfs,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
4531,Snowball Express,"When John Baxter inherits a ski resort in the Rocky Mountains, he quits his job in New York and moves the family west to run it. Only to find that the place is a wreck. But together they ..."
4532,Snowglobe,A young woman discovers a Christmas-themed dreamworld inside a magical snowglobe.
4533,So Weird,"A preteen girl travels around the country continually stumbling over supernatural occurrences. Without anyone to believe her, she posts what she finds on her website entitled ""So Weird""."
4534,Society Dog Show,"Pluto's in a dog show against lots of snooty, high-society dogs. While Mickey's chasing after a dropped can, Pluto is making eyes at the dog next door. Pluto's turn for judging comes, and ..."
4535,Sonny with a Chance,"Sonny, a talented Midwestern girl, has won a nationwide talent search to move to Los Angeles and star in a popular television series. Sonny's home and work life is documented along with her adjustment to life in the spotlight."
4536,Soy Luna,"Luna Valente lives with her family in Cancún, Mexico. She goes to school, has her own group of friends, has a job, and loves to skate. However, her life changes when her parents are given a..."
4537,Spider-Man,The web slinging superhero battles crime in New York City.
4538,Spider-Man and His Amazing Friends,Spider-Man battles crime in New York City with the help of Iceman and Firestar.
4539,Spider-Man Unlimited,Spider-Man travels to Counter-Earth to rescue a Terran shuttle crew trapped there and discovers a tyrannical and warped version of his world.
4540,Spider-Woman,The adventures of a female superhero with spider-like abilities.
4541,Splash,"A young man is reunited with a mermaid who saved him from drowning as a boy. He falls in love with her, not knowing who or what she is."
4542,Star Wars: Forces of Destiny,Small moments and everyday decisions shape a larger heroic saga.
4543,Star Wars Rebels,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.
4544,,
4545,Star Wars Resistance,"Kazuda Xiono, a young pilot for the Resistance, is tasked with a top secret mission to investigate the First Order, a growing threat in the galaxy."
4546,Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
4547,Star Wars: Episode II - Attack of the Clones,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi."
4548,Star Wars Blips,"A series of animated YouTube shorts featuring comedic looks at BB-8, R2-D2, Chewbacca, and porgs, in promotion for the release of Star Wars: Episode VIII The Last Jedi."
4549,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
4550,Star Wars: Episode III - Revenge of the Sith,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
4551,Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
4552,Star Wars: The Clone Wars,"After the Republic's victory on Christophsis, Anakin and his new apprentice Ahsoka Tano must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission."
4553,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
4554,Star Wars: Episode VII - The Force Awakens,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
4555,Star Wars: Episode VIII - The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
4556,Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory."
4557,,
4558,Stargirl,A boy becomes intrigued by a mysterious and quirky student named Stargirl and spends his time trying to know more about her.
4559,StarStruck,"Jessica Olsen was expecting a normal trip to California with her family to visit her grandma. However, she agrees to join her older sister to find the famous pop star, Christopher Wilde."
4560,Steamboat Willie,"Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck."
4561,Stepsister from Planet Weird,A teenager's life is disrupted when her mother falls in love with an alien.
